"POBLACION DEL COMERCIO","NOMBRE DEL COMERCIO","Zona","Tipo"
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","BODEGA AURRERA",4,4
"GUADALAJARA","COPIROYAL",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"TONALA ","ESS0309154M2 GAS",4,4
"TLAQUEPAQUE","GPO GIRALDA",4,4
"GUADALAJARA","PASTELERIA OK XX",4,4
"TLAQUEPAQUE","FARM GUADALAJARA",4,4
"GUADALAJARA","SUPER LA PLAYA",4,4
"GUADALAJARA","TELCEL",4,4
"GUADALAJARA","BODEGA AURRERA",4,4
"ZAPOPAN","GIGANTE",2,2
"GUADALAJARA","SLM701208JZ6 GAS",4,4
"GUADALAJARA","FABRICAS DE FRANCIA",4,4
"GUADALAJARA","FABRICAS DE FRANCIA",4,4
"ZAPOPAN ","FARM GUADALAJARA",4,4
"GUADALAJARA","SEARS",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"ZAPOPAN ","CABLEVISION",4,4
"GUADALAJARA","BODEGA AURRERA",4,4
"ZAPOPAN ","CABLEVISION",4,4
"GUADALAJARA","TUR050706DA1 GAS",4,4
"ZAPOPAN","FARM GUADALAJARA",4,4
"MEXICO DF","MAS TV SENAL CAB",4,4
"ZAPOPAN","FARM GUADALAJARA",4,4
"ZAPOPAN","GIGANTE",2,2
"TLAQUEPAQUE","FARM GUADALAJARA",4,4
"GUADALAJARA","BENAVIDES",4,4
"ZAPOPAN ","CABLEVISION",4,4
"TLAQUEPAQUE","FARM GUADALAJARA",4,4
"","*** SU PAGO GRACIAS ***",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","BODEGA AURRERA",4,4
"GUADALAJARA","BODEGA AURRERA",4,4
"GUADALAJARA","GIGANTE",2,2
"ZAPOPAN ","LA VITE",4,4
"ZAPOPAN ","CABLEVISION",4,4
"GUADALAJARA","WALMART",3,3
"GUADALAJARA","MI PC COMUNICACIONES",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","BODEGA AURRERA",4,4
"TLAQUEPAQUE","BENAVIDES",4,4
"TOLAJOMULCO D","FERREMAT MURILLO",4,4
"ZAPOPAN","FARM GUADALAJARA",4,4
"ZAPOPAN ","MVS MULTIVISION",4,4
"ZAPOPAN","FARM GUADALAJARA",4,4
"ZAPOPAN ","SELENE HAIR STUDIO",4,4
"GUADALAJARA","SORIANA",4,4
"GUADALAJARA","7 ELEVEN",4,4
"MEXICO DF","SEG BBVA RES CANCER VT",4,4
"ZAPOPAN ","CABLEVISION",4,4
"ZAPOPAN ","FABRICAS DE FRANCIA",4,4
"GUADALAJARA","MERCERIA LA 56",4,4
"TLAQUEPAQUE","GIGANTE",2,2
"GUADALAJARA","BALMUNG",4,4
"GUADALAJARA","TILUSION NVO 9074",4,4
"GUADALAJARA","TILUSION NVO 9074",4,4
"GUADALAJARA","HERBALIFE",4,4
"ZAPOPAN","ZAP FRANCIS AV VTA",4,4
"ZAPOPAN ","FARMACIAS SIMILARES",1,1
"GUADALAJARA","MGA060309HX1 GAS",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"MEXICO DF","MAS TV SENAL CAB",4,4
"GUADALAJARA","SAMS",4,4
"ZAPOPAN","STARBUCKS",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"ZAPOPAN","HOME DEPOT",4,4
"ZAPOPAN","EL DESVAN D CATHERINE",4,4
"GUADALAJARA","GBD031003B28 GAS",4,4
"TLAQUEPAQUE","FARM GUADALAJARA",4,4
"MEXICO DF","NEXTEL",4,4
"ZAPOPAN ","CABLEVISION",4,4
"GUADALAJARA","GJO960516GR6 GAS",4,4
"TLAJOMULCO D","SORIANA",4,4
"TLAJOMULCO D","EPL031124JV2 GAS",4,4
"TLAJOMULCO D","EPL031124JV2 GAS",4,4
"TLAJOMULCO D","EPL031124JV2 GAS",4,4
"GUADALAJARA","TELCEL",4,4
"GUADALAJARA","D PORTENIS JUAREZ",4,4
"TLAQUEPAQUE","EPA0503163K6 GAS",4,4
"MONTERREY","MARY KAY COSMET MEX 01",4,4
"ZAPOPAN ","SAMS",4,4
"GUADALAJARA","GIGANTE",2,2
"TLAJOMULCO D","FARM GUADALAJARA",4,4
"GUADALAJARA","SORIANA",4,4
"TLAQUEPAQUE","BODEGA AURRERA",4,4
"TLAQUEPAQUE","FARM GUADALAJARA",4,4
"GUADALAJARA","GIGANTE",2,2
"ZAPOPAN","VIU 03",4,4
"GUADALAJARA","BURGER KING GLORIETA",4,4
"ZAPOPAN ","SUBURBIA",4,4
"ZAPOPAN ","SAMS",4,4
"GUADALAJARA","GIGANTE",2,2
"TLAJOMULCO D","WALMART",3,3
"MEXICO DF","INTERJET",4,4
"MEXICO DF","INTERJET",4,4
"ZAPOPAN ","SPA7707013M8 GAS",4,4
"ZAPOPAN ","CABLEVISION",4,4
"TONALA ","WALMART",3,3
"GUADALAJARA","GIGANTE",2,2
"CORREGIDORA","SEG MONTERREY NYL",4,4
"GUADALAJARA","CAFET",4,4
"GUADALAJARA","DIAMANTEX",4,4
"GUADALAJARA","ZAPATERIAS JAZZ I",4,4
"GUADALAJARA","FINE SHOES",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"ZAPOPAN ","N V I",4,4
"ZAPOPAN ","CABLEVISION",4,4
"GUADALAJARA","FRAICHE",4,4
"ZAPOPAN ","CABLEVISION",4,4
"GUADALAJARA","PIRMA BRASIL",4,4
"ZAPOPAN ","AUTOLLANTAS",4,4
"GUADALAJARA","WALMART",3,3
"ZAPOPAN ","CABLEVISION",4,4
"GUADALAJARA","TOKAI",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"ZAPOPAN ","FARM GUADALAJARA",4,4
"GUADALUPE","LAS ORIGINALES CARNES",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","BURGER KING CENTRO",4,4
"GUADALAJARA","HOME DEPOT",4,4
"GUADALAJARA","HOME DEPOT",4,4
"MEXICO DF","ESTRELLA BCA C CENTER",4,4
"GUADALAJARA","SUBURBIA",4,4
"GUADALAJARA","ZOO ROPA",4,4
"ZAPOPAN ","CABLEVISION",4,4
"GUADALAJARA","HTE MEXICO GUAD VT",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"TLAJOMULCO D","GIMNASIOS GOLDS GYM",4,4
"ZAPOPAN","LAB JULIO PLAZA PATRIA",4,4
"ZAPOPAN ","FERRET CALZ PATRIA",4,4
"GUADALAJARA","GTC940212K93 GAS",4,4
"TONALA","FARM GUADALAJARA",4,4
"TEPIC","OFFICE DEPOT",4,4
"TEPIC","WALMART",3,3
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","TELCEL",4,4
"GUADALAJARA","AXTEL",4,4
"GUADALAJARA","GIGANTE",2,2
"ZAPOPAN ","SCO8601168Q8 GAS",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"MEXICO DF","DESARROLLO MNA V TCOM",4,4
"TLAJOMULCO D","COPPEL",4,4
"TLAQUEPAQUE","PSE6602015CA GAS",4,4
"TLAQUEPAQUE","PSE6602015CA GAS",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"ZAPOPAN ","ZAP D KAREN",4,4
"GUADALAJARA","UAG780612718 GAS",4,4
"ZAPOPAN ","CABLEVISION",4,4
"ZAPOPAN ","SUBURBIA",4,4
"SANTA CATARIN","AXTEL",4,4
"ZAPOPAN ","STEREN",4,4
"ZAPOPAN ","STEREN",4,4
"ZAPOPAN","GIGANTE",2,2
"GUADALAJARA","BODEGA AURRERA",4,4
"GUADALAJARA","SEARS",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"ZAPOPAN","GIGANTE",2,2
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","GJO960516GR6 GAS",4,4
"GUADALAJARA","GIGANTE",2,2
"ZAPOPAN ","SORIANA",4,4
"ZAPOPAN ","FARM GUADALAJARA",4,4
"ZAPOPAN ","SUPERAMA",4,4
"ZAPOPAN","PDTE INTER GUAD RECEP",4,4
"GUADALAJARA","SUPER SALDOS",4,4
"ZAPOPAN ","CABLEVISION",4,4
"MEXICO DF","AIG1 MEX 01800 0064200",4,4
"GUADALAJARA","COM EREC",4,4
"ZAPOPAN ","CABLEVISION",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"ZAPOPAN","MC DONALDS LOPEZ MATEOS",4,4
"ZAPOPAN ","TACO CREPA",4,4
"TLAQUEPAQUE","SSS020412PK8 GAS",4,4
"ZAPOPAN ","FLORERIA MARTHA",4,4
"ZAPOPAN ","FARM GUADALAJARA",4,4
"TLAQUEPAQUE","WALMART",3,3
"GUADALAJARA","AUTOMOTORES GABA",4,4
"TLALNEPANTLA","WALDOS SUC 6002",4,4
"GUADALAJARA","OMNILIFE DE MEXICO",4,4
"GUADALAJARA","BODEGA AURRERA",4,4
"LEON","COMERCIAL MEXICANA",4,4
"GUADALAJARA","TELCEL",4,4
"GUADALAJARA","TELCEL",4,4
"GUADALAJARA","MISION GUADALAJARA",4,4
"SANTA CATARIN","AXTEL",4,4
"ZAPOPAN ","SAMS",4,4
"MEXICO DF","SKY RETENCIONES",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"ZAPOPAN ","WALMART",3,3
"ZAPOPAN ","CABLEVISION",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","SIST INT TDA Y FARM 61",4,4
"GUADALAJARA","OMNILIFE DE MEXICO",4,4
"MEXICO DF","SKY TV DC",4,4
"GUADALAJARA","UAG780612718 GAS",4,4
"TLAQUEPAQUE","BENAVIDES",4,4
"GUADALAJARA","FARM GUADALAJARA",4,4
"GUADALAJARA","ZAP FRANCIS DELUXE",4,4
"ZAPOPAN ","SAMS",4,4
